Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
751,59,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
752,96,0.0%,Plumbing,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Plumbing
753,178,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
754,92,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
755,74,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
756,67,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
757,55,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
758,463,0.0%,Equipment Work,Alteration Type 2,0.0%,2009,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
759,50,0.0%,New Building,New Building,100.0%,2008,N/A,Specialized/Rare Residential - New Building
760,124,0.0%,New Building,New Building,100.0%,2008,N/A,Specialized/Rare Residential - New Building
761,122,0.0%,Plumbing,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Plumbing
762,56,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
763,176,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
764,114,0.0%,Equipment,Alteration Type 3,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment
765,58,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
766,81,0.0%,Equipment,Alteration Type 3,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment
767,82,0.0%,Equipment Work,Alteration Type 2,100.0%,2008,N/A,Specialized/Rare Residential - Equipment Work
768,52,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
769,107,0.0%,Plumbing,New Building,100.0%,2008,N/A,Specialized/Rare Residential - Plumbing
770,53,0.0%,Equipment Work,Alteration Type 2,100.0%,2008,N/A,Specialized/Rare Residential - Equipment Work
771,991,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
772,1397,0.0%,Equipment Work,Alteration Type 2,0.0%,2014,N/A,Small Commercial/Mixed - Equipment Work
